X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
211.62136644200405,11.595199001194862,4.0,202,4.0,4.0,0.18,0.0207,329,2.77,-1.42e-06,236.69374201187895,42.98479832130212,-2.25,162.0,4.0,4.0,0.539,0.0167,328,1.84,6.43e-07,137.03794112757754,-57.31653301620096,4.0,123.0,4.0,4.0,0,0,0,0,-357.0,4.001,4.25,-357.0,4.0,4.0,0.524,2.74e-19,329,0.0,6.96e-07,16,1,0,50,Starting
169.1627590154655,-26.344816410068407,-346.0,202,-9.6,-354.0,-10.9,0.186,328,23.3,0.00448,169.60338305584156,-2.760095954504777,-746.0,161.0,-20.6,-643.0,-14.5,0.281,325,37.8,0.0126,140.84491300572654,-12.203899615172396,-708.0,122.0,-21.6,-670.0,0,0,0,0,-357.0,4.0,4.25,-357.0,4.0,4.0,-0.288,2.74e-19,328,0.0,-5.27e-07,16,1,4,50,Prep
223.69531093404046,-27.624185273874673,-2.25,200,-13.9,3.9999046,-8.59,0.14,328,30.6,0.00533,178.86390302511973,50.12240102514522,4.0,158.0,-28.3,3.9999046,-7.79,0.139,327,49.4,0.00943,151.76154294063954,-45.341521331076024,41.5,119.0,-29.7,3.9999046,0,0,0,0,-357.0,4.0,3.562,-357.0,4.0,4.0,0.524,2.74e-19,328,0.0,9.1e-07,16,1,7,50,Prep
227.69809833473204,-34.47401364779473,4.0,198,-13.9,3.9999046,-6.11,0.13,327,30.3,0.00489,161.00527244193,-57.26250184491164,-58.5,155.0,-28.3,3.9999046,-8.13,0.156,325,47.6,0.0105,123.13945389717345,-44.31890740430544,-2.25,116.0,-29.7,4.0,0,0,0,0,-357.0,3.999,3.75,-357.0,4.0,4.0,-0.18,2.74e-19,328,0.0,1.07e-06,16,1,7,50,Prep
135.39654637537566,-40.41286007220499,-14.8,196,-13.9,4.0000954,-5.7,0.114,328,30.5,0.00425,174.56656352473752,-44.56910609687151,142.0,152.0,-28.3,4.0000954,-13.8,0.202,326,47.1,0.0135,130.59471416447968,36.017085264160265,22.8,112.0,-29.7,4.0,0,0,0,0,-357.0,4.0,3.812,-357.0,4.0,4.0,0.226,2.74e-19,328,0.0,1.96e-06,16,1,7,50,Prep
153.88400407720076,10.142428378077676,85.2,195,-13.9,4.000191,-5.85,0.128,328,30.9,0.00474,141.20162911590168,-18.33377320540908,-8.5,148.0,-28.3,4.0,-9.78,0.166,326,49.6,0.0113,99.68070595792608,-80.38602352288335,-2.25,109.0,-29.7,4.0000954,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,0.821,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
197.0365291172954,1.4628718424055283,-2.25,193,-13.9,4.0000954,-5.84,0.0955,328,29.3,0.00345,218.78218368115392,-18.752080219703853,85.2,145.0,-28.3,3.9999046,-8.56,0.179,326,50.0,0.0124,108.2541784400217,-16.78175995962829,66.5,106.0,-29.7,4.0000954,0,0,0,0,-357.0,4.00075,3.9375,-357.0,4.0,4.0,0.523,2.74e-19,328,0.0,3.79e-06,16,1,2,50,Prep
181.0147183480526,7.989326104334687,54.0,191,-13.9,3.999809,-7.31,0.117,327,29.1,0.00441,118.83749966966299,18.573550849166548,54.0,142.0,-28.3,3.9999046,-8.0,0.185,325,50.8,0.0128,106.46615295356783,-62.74557608823257,22.8,102.3,-29.7,4.0,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,-0.288,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
188.46950760643657,-13.022928648751195,29.0,189,-13.9,4.0,-7.98,0.113,328,29.4,0.00417,196.45244575462138,-44.3650573924041,41.5,139.0,-28.3,4.0,-9.96,0.154,327,49.7,0.0102,106.8333764268154,0.5706907501934992,22.8,98.8,-29.7,4.0000954,0,0,0,0,-357.0,3.99925,3.812,-357.0,4.0,4.0,-0.0997,2.74e-19,328,0.0,-8.36e-08,16,1,7,50,Prep
161.06534892981358,3.4305174845193047,16.5,187,-13.9,3.9999046,-7.44,0.138,328,29.8,0.00501,103.30318263569198,-6.949373739741876,-27.3,136.0,-28.3,4.0,-6.29,0.119,325,48.1,0.00784,123.57495543598436,-19.786690412070783,-33.5,95.6,-29.7,4.0000954,0,0,0,0,-357.0,3.999,4.0,-357.0,4.0,4.0,0.118,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
